make,model,colour,capacity,network,grade,condition
Doro,5516,"Brand New","Insurance Grade","Not Applicable",Grey,Unlocked,4
Doro,6520,Working,"Grade A - Very Good Condition","Not Applicable",Grey,Unlocked,27
Doro,8030,"Brand New","Insurance Grade",16GB,Black,"Three(3) Ireland",5
Doro,"ADAPTER A85-501000","Brand New","Brand New","Not Applicable",Black,"Not Applicable",10
Doro,"CHARGING CRADLE - FOR DORO LIBERTO 820 MINI","Brand New","Brand New","Not Applicable",Black,"Not Applicable",5
Doro,"CHARGING CRADLE 612, ADAPTER A85-501000, USB CABLE AND EARPHONES","Brand New","Brand New","Not Applicable",Black,"Not Applicable",2
Doro,"CHARGING CRADLE 631/632, ADAPTER A85-501000, USB CABLE AND EARPHONES","Brand New","Brand New","Not Applicable",Black,"Not Applicable",46
Doro,"CHARGING CRADLE 631/632, USB CABLE AND EARPHONES","Brand New","Brand New","Not Applicable",Black,"Not Applicable",5
Doro,"CHARGING CRADLE 820 MINI, USB CABLE AND EARPHONES","Brand New","Brand New","Not Applicable",Black,"Not Applicable",10
Doro,"CHARGING CRADLE AND MAINS CHARGER",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",1
Doro,"CHARGING CRADLE DSB-0010","Brand New","Brand New","Not Applicable",Black,"Not Applicable",60
Doro,"CHARGING CRADLE DSB-0010, ADAPTER A85-501000, USB CABLE AND EARPHONES","Brand New","Brand New","Not Applicable",Black,"Not Applicable",56
Doro,"CHARGING CRADLE DSB-0010, USB CABLE AND EARPHONES","Brand New","Brand New","Not Applicable",Black,"Not Applicable",20
Doro,"CHARGING CRADLE FOR DORO LIBERTO 820 MINI, ADAPTER A85-501000, USB CABLE AND EARPHONES","Brand New","Brand New","Not Applicable",Black,"Not Applicable",19
Doro,"LIBERTO 820","Non-working - Need Repair - HardWare",Unknown,4GB,Black,Unlocked,1
Doro,"LIBERTO 820 MINI BACK COVER","Brand New","Brand New","Not Applicable",Silver,"Not Applicable",5
Doro,"Phone Easy 410",Working,"Grade B B2B","Not Applicable",Black,Orange,1
Doro,"phone easy 505","Power On Tested-Broken LCD","Grade D","Not Applicable",Black,Damaged,1
Doro,"PHONE EASY 508","Brand New","Insurance Grade","Not Applicable",Black,Unlocked,25
Doro,"PHONE EASY 607",Working,"Grade B - Good Condition","Not Applicable",Aqua,Unlocked,19
Doro,"PHONE EASY 611",BER,"Grade C - Acceptable Condition","Not Applicable",Grey,Unknown,1
Doro,"PHONE EASY 612",Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,4
Doro,"PHONE EASY 613","Brand New","Brand New","Not Applicable",Black,Unlocked,29
Doro,"PHONE EASY 613 - FBA FRANCE","Brand New","Brand New","Not Applicable",Black,Unlocked,100
Doro,"PHONE EASY 613 - FBA GERMANY","Brand New","Brand New","Not Applicable",Black,Unlocked,419
Doro,"PHONE EASY 613 - FBA ITALY","Brand New","Brand New","Not Applicable",Black,Unlocked,12
Doro,"PHONE EASY 613 - FBA SPAIN","Brand New","Brand New","Not Applicable",Black,Unlocked,20
Doro,"phone easy 622",Working,"Grade B B2B","Not Applicable",Black,Vodafone-Ireland,1
Doro,"phoneeasy 610","Brand New","Insurance Grade","Not Applicable",Black,Unlocked,1
Doro,"WALL BRACKET- AUB 200/300",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",1
DURACELL,5000394024847,Working,"Grade C - Acceptable Condition","Not Applicable",Black,"Not Applicable",5
DVC,"16MP 2.7\" TFT HD 720P DIGITAL VIDEO DIGITAL CAMERA CMOS CAMCORDER DVC 16X DIGITAL ZOOM",Working,"Grade B - Good Condition","Not Applicable",Red,"Not Applicable",1
E-LITES,"5X LIGHT INSTANT USE - 1 E-TIP","Brand New","Brand New","Not Applicable",Black,"Not Applicable",1
E-LITES,"CURV CHARGE + GO + USB","Brand New","Brand New","Not Applicable",Black,"Not Applicable",3
E-LITES,"CURV LIGHT 2 PACK E-TIPS","Brand New","Brand New","Not Applicable",Black,"Not Applicable",5
E-LITES,"CURV MENTHOL - REFILL PACK - 2 PACK E-TIPS","Brand New","Brand New","Not Applicable",Black,"Not Applicable",218
E-LITES,"CURV MENTHOL - REFILL PACK - 2 PACK E-TIPS X 5","Brand New","Brand New","Not Applicable",Black,"Not Applicable",15
E-LITES,"CURV MENTHOL FULL KIT 2 E-TIPS","Brand New","Brand New","Not Applicable",Black,"Not Applicable",3
E-LITES,"CURV MENTHOL INSTANT USE 1 E-TIP","Brand New","Brand New","Not Applicable",Black,"Not Applicable",5
E-LITES,"CURV REGULAR 2 E-TIPS","Brand New","Brand New","Not Applicable",Black,"Not Applicable",159
E-LITES,"CURV REGULAR 2 E-TIPS X5","Brand New","Brand New","Not Applicable",Black,"Not Applicable",7
E-LITES,"CURV REGULAR FULL KIT 2 E-TIPS","Brand New","Brand New","Not Applicable",Black,"Not Applicable",18
E-LITES,"CURV REGULAR FULL KIT 2 E-TIPS X 5","Brand New","Brand New","Not Applicable",Black,"Not Applicable",1
E-LITES,"CURV REGULAR INSTANT USE 1 E-TIP","Brand New","Brand New","Not Applicable",Black,"Not Applicable",99
E-LITES,"CURV REGULAR INSTANT USE 1 E-TIP X5","Brand New","Brand New","Not Applicable",Black,"Not Applicable",1
E-LITES,"REINVENTED 2 E-TIPS MENTHOL","Brand New","Brand New","Not Applicable",Black,"Not Applicable",22
E-LITES,"REINVENTED LIGHT 2 E-TIPS ","Brand New","Brand New","Not Applicable",Black,"Not Applicable",1
E-LITES,"USB BATTERY CHARGER G-9","Brand New","Brand New","Not Applicable",Black,"Not Applicable",3
EASYPIX,"EASYPAD JUNIOR 4.0",Non-working,Unknown,4GB,Silver,"Not Applicable",1
EE,"EE PRE DATA SIM 24GB","Brand New","Brand New","Not Applicable",Green,Unlocked(EE),9
EE,"EE PRE DATA SIM 2GB","Brand New","Brand New","Not Applicable",Green,Unlocked(EE),6
EE,"EE PRE DATA SIM 6GB","Brand New","Brand New","Not Applicable",Green,Unlocked(EE),16
EE,"HARRIER FROM EE","Power On Tested-Broken LCD","Grade D",4GB,Black,Damaged,3
EGL,"E75128 7 INCH",Working,"Grade D",8GB,White,"Not Applicable",1
"EMPORIA ",CLICK,Working,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,148
"EMPORIA ",ESSENCE,Working,"Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,6
"EMPORIA ",TALK,Non-working,Unknown,"Not Applicable",Silver,Damaged,16
ENERGIZER,"USB IN-CAR CHARGER + 3 USB CHARGING CABLES","Brand New","Brand New","Not Applicable",Black,"Not Applicable",7
ENVOPAK,"LAPTOP SECURITY COURIER BAG",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",12
Epson,H673B,Working,"Grade B - Good Condition",Unknown,White,"Not Applicable",1
Epson,"RUNSENSE HEART RATE MONITOR SFHRM01","Brand New","Brand New","Not Applicable",Black,"Not Applicable",12
Ericsson,"DIALOG 4422","Brand New","Insurance Grade","Not Applicable",White,"Not Applicable",2
ESPRIMO,"E700 E85+",Working,"Grade B - Good Condition",2GB,Black,"Not Applicable",11
"F&K TECHNOLOGY ","NOTEBOOK LAPTOP COMPUTER ALLOY CABLE LOCK","Brand New","Insurance Grade","Not Applicable",Silver,"Not Applicable",1
FANNY,"WANG - FW-1002-WHI",Working,"Grade B - Good Condition","Not Applicable",White,"Not Applicable",1
FEELGUD8,"FOLIO CASE FOR SAMSUNG S5 - FG816001","Brand New","Brand New","Not Applicable",Black,"Not Applicable",60
FEELGUD8,"LEATHER FLIP CASE FOR IPHONE 5/5S - FG816005","Brand New","Brand New","Not Applicable",Black,"Not Applicable",5
FEELGUD8,"LEATHER FOLIO CASE FOR  IPHONE 5/5S - FG816006","Brand New","Brand New","Not Applicable",Black,"Not Applicable",35
FEELGUD8,"MATTE HARDCASE FOR IPHONE 5/5S - FG816004","Brand New","Brand New","Not Applicable",Black,"Not Applicable",34
FEELGUD8,"MATTE HARDCASE FOR SAMSUNG S5 - FG816002","Brand New","Brand New","Not Applicable",Black,"Not Applicable",91
FEELGUD8,"ULTRA SLIM CASE FOR SAMSUNG S5 - FG816003","Brand New","Brand New","Not Applicable",Black,"Not Applicable",41
Fitbit,"ALTA - LARGE","Warranty Send-Off",Unknown,"Not Applicable",Black,"Not Applicable",71
Fitbit,"ALTA HR - LARGE","Warranty Send-Off",Unknown,"Not Applicable",Black,"Not Applicable",12
Fitbit,"ARIA WIFI SMART SCALE",Working,"Grade D","Not Applicable",Black,"Not Applicable",15
Fitbit,"BLAZE - LARGE","Brand New","Insurance Grade","Not Applicable",Black,"Not Applicable",32
Fitbit,"BLAZE - SMALL",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",5
Fitbit,"BLAZE CLASSIC ACCESSORY BAND - SMALL",Working,"Grade A - Very Good Condition","Not Applicable",Purple,"Not Applicable",38
Fitbit,Charge,"Use For Parts","Grade B - Good Condition","Not Applicable",Black,"Not Applicable",1
Fitbit,"CHARGE 2 LARGE",Non-working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",65
Fitbit,"Charge HR Fitness Tracker","Brand New","Brand New","Not Applicable",Black,"Not Applicable",48
Fitbit,"CHARGE HR FITNESS TRACKER LARGE",Working,"Grade D","Not Applicable",Black,"Not Applicable",138
Fitbit,"CHARGE HR FITNESS TRACKER SMALL",Working,"Grade D","Not Applicable",Black,"Not Applicable",165
Fitbit,"CHARGE LARGE",BER,"Grade C - Acceptable Condition","Not Applicable",Black,"Not Applicable",6
Fitbit,"CHARGE SMALL",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",4
Fitbit,Flex,BER,Unknown,"Not Applicable",Black,"Not Applicable",12
Fitbit,"FLEX 2",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",12
Fitbit,"SURGE LARGE",Working,"Insurance Grade","Not Applicable",Black,"Not Applicable",2
Fitbit,"SURGE SMALL","Non-working - Need Repair - HardWare","Grade C - Acceptable Condition","Not Applicable",Black,"Not Applicable",1
Fitbit,"SURGE X-LARGE",Non-working,Unknown,"Not Applicable",Black,"Not Applicable",1
Fitbit,Zip,Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",11
FONEWARE,"SCREEN SHIELD TEMPERED GLASS FOR IPHONE 6 PLUS","Brand New","Brand New","Not Applicable",Clear,"Not Applicable",46
FONME,"AMPLIFIERS - ON EAR HEADPHONES WITH IN-LINE MIC (INTERCHANGEABLE HEADBANDS)","Brand New","Brand New","Not Applicable",Black,"Not Applicable",51
FONME,"AMPS (LIMITED EDITION) - IN-EAR HEADPHONES WITH IN-LINE MIC","Brand New","Brand New","Not Applicable",Black,"Not Applicable",446
FONME,"FLIP CASE FOR IPHONE 6","Brand New","Brand New","Not Applicable",Black,"Not Applicable",91
FONME,"FLIP CASE HEARTS FOR IPHONE 6",Working,"Insurance Grade","Not Applicable",Multicolour,"Not Applicable",5
FONME,H223,"Brand New","Brand New","Not Applicable",Black,"Not Applicable",324
FONME,"H223 - FBA UK","Brand New","Brand New","Not Applicable",Black,"Not Applicable",6
FONME,"LEATHER FLIP CASE FOR IPHONE 6","Brand New","Brand New","Not Applicable",Black,"Not Applicable",118
FONME,"LEATHER FLIP CASE FOR IPHONE 6 - FBA UK","Brand New","Brand New","Not Applicable",Black,"Not Applicable",1
FONME,"ORBZ - IN-EAR HEADPHONES WITH IN-LINE MIC",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",2
FOXWOOD,"HARDSHELL CASE FOR IPHONE X",Working,"Insurance Grade","Not Applicable",Pink,"Not Applicable",5
FOXWOOD,"HARDSHELL WOOD CASE FOR IPHONE X",Working,"Insurance Grade","Not Applicable",Cream,"Not Applicable",3
FOXWOOD,"SLIMLINE FOLIO WITH CARD SLOTS FOR IPHONE X",Working,"Insurance Grade","Not Applicable",Pink,"Not Applicable",2
Fujifilm,"FINEPIX J30",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",2
Fujifilm,"FINEPIX JX250",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",2
Fujitsu,"AMILIO DESKTOP PI3410",Working,"Grade B - Good Condition",4GB,White,"Not Applicable",1
Fujitsu,"AMILO DESKTOP PI 3745",Working,"Grade B - Good Condition",4GB,White,"Not Applicable",1
Fujitsu,"AMILO PRO V3515",Non-working,"Grade C - Acceptable Condition",2GB,Black,"Not Applicable",1
Fujitsu,"AMILO PRO V8210",Working,"Grade B - Good Condition",1GB,Grey,"Not Applicable",4
Fujitsu,D19-1,Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",1
Fujitsu,"DT7-D2028  - DESKTOP",Working,"Grade B - Good Condition",2GB,Black,"Not Applicable",4
Fujitsu,"ESPRIMO E3520",Working,"Grade B - Good Condition",3GB,Grey,"Not Applicable",2
Fujitsu,"ESPRIMO E3520 E-STAR5",Working,"Grade B - Good Condition",3GB,Grey,"Not Applicable",5
Fujitsu,"ESPRIMO E3521E-STAR5- 2GB RAM, 160GB HDD ",Working,"Grade B - Good Condition",2GB,Grey,"Not Applicable",9
Fujitsu,"ESPRIMO E3620",Working,"Grade B - Good Condition",2GB,Grey,"Not Applicable",3
Fujitsu,"ESPRIMO E3621",Working,"Grade B - Good Condition",2GB,Grey,"Not Applicable",2
Fujitsu,"ESPRIMO E400 E85+- 2GB RAM, 500GB HDD ",Working,"Grade B - Good Condition",2GB,Grey,"Not Applicable",60
Fujitsu,"ESPRIMO E5730- 2GB RAM, 160GB HDD ",Working,"Grade B - Good Condition",2GB,Black,"Not Applicable",28
Fujitsu,"ESPRIMO E700 E85+",Working,"Grade B - Good Condition",2GB,Grey,"Not Applicable",18
Fujitsu,"ESPRIMO E7935 0-WATT- 2GB RAM, 160GB HDD ",Working,"Grade B - Good Condition",2GB,Grey,"Not Applicable",25
Fujitsu,"ESPRIMO E7935 E-STAR4- 2GB RAM, 160GB HDD ",Working,"Grade B - Good Condition",2GB,Grey,"Not Applicable",16
Fujitsu,"ESPRIMO E7936 0-WATT- 2GB RAM, 250GB HDD ",Working,"Grade B - Good Condition",2GB,Grey,"Not Applicable",58
Fujitsu,"ESPRIMO MOBILE D9500",Working,"Grade B - Good Condition",1GB,Grey,"Not Applicable",10
Fujitsu,L3190T,Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",1
Fujitsu,"MHW2080BJ 2.5 SATA HD",Working,"Grade B - Good Condition","Not Applicable",Silver,"Not Applicable",1
Fujitsu,"MJA2160BH 2.5 SATA HD",Working,"Grade B - Good Condition","Not Applicable",Silver,"Not Applicable",1
Garmin,"FENIX 3",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",1
Garmin,"FORERUNNER 230",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",2
Garmin,"NUVI 215 NAVIGATION","Brand New","Brand New","Not Applicable",Grey,"Not Applicable",3
Garmin,"nuvi 2445LMT 4.3\" Sat Nav with UK and Western Europe Maps",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",1
Garmin,"NUVI 250","Brand New","Brand New","Not Applicable",Pink,"Not Applicable",1
Garmin,"NUVI 250W","Brand New","Brand New","Not Applicable",Grey,"Not Applicable",2
Garmin,"NUVI 660",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",1
Garmin,"VIVOSMART HR",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",56
Garmin,"VIVOSMART HR - REGULAR","Brand New","Insurance Grade","Not Applicable",Black,"Not Applicable",152
Garmin,"VIVOSMART HR STRAP",Working,"Insurance Grade","Not Applicable",Black,"Not Applicable",202
GEAR4,"ALARM DOCK REVEAL FOR IPOD IPHONE",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",1
GEAR4,"ANGRY BIRDS SPEAKER - HELMET PIG","Brand New","Brand New","Not Applicable",Green,"Not Applicable",4
GEAR4,"HOUSEPARTY RISE",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",8
GEAR4,"SCREENSHIELD PROTECTOR FOR IPHONE SE/5/5S - PACK OF 3","Brand New","Brand New","Not Applicable",Clear,"Not Applicable",9
GEAR4,"STREET PARTY WIRELESS",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",3
GECHO,"WATERPROOF WIRELESS SPEAKER","Brand New","Brand New","Not Applicable",Pink,"Not Applicable",4
"GF INNOVATIONS","TA45 CONNECTOR","Brand New","Brand New","Not Applicable",White,"Not Applicable",14
"GHOSTBUSTERS ","GHOST EARBUDS",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",36
GLOCALME,G3,BER-Scrap,"Grade C - Acceptable Condition","Not Applicable",Black,Damaged,1
GNC,"PRO TRACK PT-2600",Working,"Grade C - Acceptable Condition","Not Applicable",Black,"Not Applicable",15
Goclever,"TAB R70",Working,"Grade C - Acceptable Condition",1GB,White,"Not Applicable",8
Goclever,"TERRA 7",BER,"Grade D",4GB,Silver,"Not Applicable",2
GOKO,"MULTI-RECORDING SOUND EDITOR RM-3D",Working,"Grade C - Acceptable Condition","Not Applicable",Black,"Not Applicable",1
GOKO,"STEREO RECORDING EDITOR RM-8008",Working,"Grade C - Acceptable Condition","Not Applicable",Black,"Not Applicable",1
GOLLA,"BLOCK-15,4\" LAPTOP BAG","Brand New","Brand New","Not Applicable",Brown,"Not Applicable",4
GOLLA,"DIGIBAG ISLE","Brand New","Brand New","Not Applicable",Pink,"Not Applicable",24
Goodmans,"LED DISCO BLUETOOTH SPEAKER","Brand New","Insurance Grade","Not Applicable",Black,"Not Applicable",1
Google,"CHROMECAST 1ST GENERATION - H2G2",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",10
Google,"CHROMECAST AUDIO","Brand New","Insurance Grade","Not Applicable",Black,"Not Applicable",1
Google,"DUEL HOME WIFI NLS-1304-25",Working,"Grade A - Very Good Condition","Not Applicable",White,"Not Applicable",2
Google,"HOME WIFI MODEM",Working,"Grade A - Very Good Condition","Not Applicable",White,"Not Applicable",1
Google,"NEXUS 7",Working,"Grade C - Acceptable Condition",32GB,Black,"Not Applicable",7
Google,PIXEL,Working,"Grade A - Very Good Condition",32GB,Black,"Not Applicable",206
Google,"PIXEL 2",Working,"Insurance Grade",64GB,Black,"EE Network",4
Google,"PIXEL 2 XL",Working,"Grade B - Good Condition",64GB,Black,Unlocked,15
Google,"PIXEL XL",Working,"Grade A - Very Good Condition",32GB,Black,"Not Applicable",68
Google,"TC G1000-UK CHARGER AND TYPE C CABLE",Working,"Grade A - Very Good Condition","Not Applicable",White,"Not Applicable",207
Google,"TYPE-C CABLE AND TYPE-C ADAPTER",Working,"Grade A - Very Good Condition","Not Applicable",White,"Not Applicable",211
GRIFFIN,"CAPACITIVE SOFT RUBBER STYLUS PEN","Brand New","Insurance Grade","Not Applicable",Yellow,"Not Applicable",4
GRIFFIN,"COILED CAR CHARGER WITH LIGHTNING CONNECTOR 4.5' - GC36547","Brand New","Insurance Grade","Not Applicable",Black,"Not Applicable",5
GRIFFIN,"COILED CAR CHARGER WITH USB CONNECTOR 4.5 - GC36392-2","Brand New","Brand New","Not Applicable",Black,"Not Applicable",5
GRIFFIN,"IDENTITY GRAPHITE FOR IPHONE 5/5S",Working,"Grade A - Very Good Condition","Not Applicable",Multicolour,"Not Applicable",14
GRIFFIN,"IDENTITY IPHONE 5/5S",Working,"Grade A - Very Good Condition","Not Applicable",Yellow,"Not Applicable",4
GRIFFIN,"IDENTITY IPHONE 5/5S - GB38991",Working,"Grade A - Very Good Condition","Not Applicable",Blue,"Not Applicable",4
GRIFFIN,"IDENTITY IPHONE 5/5S - GB38993",Working,"Grade A - Very Good Condition","Not Applicable",White,"Not Applicable",6
GRIFFIN,"KAZOO MYPHONES FROG - GC35894","Brand New","Brand New","Not Applicable",Green,"Not Applicable",24
GRIFFIN,"NO 2 PENCIL STYLUS",Working,"Insurance Grade","Not Applicable",Yellow,"Not Applicable",9
GRIFFIN,"POWER BLOCK - GA23102",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",13
GRIFFIN,"REVEAL CASE FOR IPHONE 5/5S",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",2
GRIFFIN,"REVEAL CASE FOR IPHONE 6",Working,"Grade B - Good Condition","Not Applicable",Blue,"Not Applicable",3
GRIFFIN,"REVEAL CASE FOR IPHONE 6 PLUS",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",1
GRIFFIN,"REVEAL CASE FOR SAMSUNG GALAXY NOTE 4","Brand New","Brand New","Not Applicable",Black,"Not Applicable",5
GRIFFIN,"SURVIVOR ALL-TERRAIN CASE FOR IPAD 2,3,4",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",4
GRIFFIN,"SURVIVOR ALL-TERRAIN CASE FOR IPHONE 6",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",12
GRIFFIN,"SURVIVOR ALL-TERRAIN FOR IPAD AIR",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",41
GRIFFIN,"SURVIVOR ALL-TERRAIN FOR IPAD AIR 2",Working,"Insurance Grade","Not Applicable",Black,"Not Applicable",1
GRIFFIN,"SURVIVOR CASE FOR IPAD 2",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",10
GRIFFIN,"SURVIVOR CLEAR WALLET+ SEE-THROUGH SLIM FIT FOR IPHONE 6/6S/7/8",Working,"Insurance Grade","Not Applicable",Black,"Not Applicable",9
GRIFFIN,"SURVIVOR CLEAR WALLET+ SEE-THROUGH SLIM FIT FOR IPHONE 6/6S/7/8 PLUS",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",3
GRIFFIN,"SURVIVOR CLEAR WALLET+ SEE-THROUGH SLIM FIT FOR IPHONE X",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",1
GRIFFIN,"SURVIVOR CORE CASE FOR IPHONE 5/5S",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",8
GRIFFIN,"SURVIVOR CORE CASE FOR IPHONE 6",Working,"Grade A - Very Good Condition","Not Applicable",Black,"Not Applicable",41
GRIFFIN,"SURVIVOR CORE CASE FOR SAMSUNG GALAXY S5",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",7
